benchmark,tool,runs,"budget",tgen,avgcovi,avgcovb,avgcovm
"DUBBO-5","jtexpert",6,60,52.4,0.969,0.74,1
"DUBBO-6","jtexpert",6,60,52.7,0.494,0.584,0.633
"DUBBO-7","jtexpert",6,60,53.2,0.928,0.795,0.967
"DUBBO-8","jtexpert",6,60,53.8,0.786,0.571,0.825
"DUBBO-9","jtexpert",6,60,54.9,0.809,0.711,0.716
"FASTJSON-10","jtexpert",6,60,53.2,0.6,0.5,0.586
"FASTJSON-1","jtexpert",6,60,16.7,0.063,0.062,0.009
"FASTJSON-2","jtexpert",6,60,86.3,0.549,0.474,0.623
"FASTJSON-3","jtexpert",6,60,71.2,0.322,0.253,0.371
"FASTJSON-4","jtexpert",6,60,57.8,0.828,0.738,0.522
"FASTJSON-5","jtexpert",6,60,54.1,0.499,0.424,0.6
"FASTJSON-6","jtexpert",6,60,54.2,0.762,0.648,0.736
